11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:44:06,06-18-2021,B8:27:EB:55:04:6A,b'temp: 24.94357344234  moisture: 317'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:45:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 318'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:46:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
11:47:08,06-18-2021,B8:27:EB:55:04:6A,b'temp: 25.15301545662  moisture: 318'
